browser,url,timestamp,rumSpeedIndex.median,rumSpeedIndex.mean,rumSpeedIndex.stddev,firstPaint.median,firstPaint.mean,firstPaint.stddev,loadEvent.median,loadEvent.mean,loadEvent.stddev,fullyLoaded.median,fullyLoaded.mean,fullyLoaded.stddev,size.median,size.mean,size.stddev,Brave's fully loaded speedup,Brave's Load time speedup,Brave's bandwidth savings,page type
Opera,https://www.tmz.com/2019/09/03/youtuber-brooke-houts-no-charges-animal-cruelty-dog-abusing-video/,2019-11-03T00:49:33+00:00,1244,1426,460,1213,1409,471,50091,40192,15090,72859,57465,23898,9809425,4608504,125017.4714,94%,91%,76%,article
Opera,https://uk.reuters.com/video/2019/09/03/uk-pm-johnson-threatens-election-ahead-o?videoId=595311898&videoChannel=75,2019-11-03T00:58:31+00:00,2225,2214,74,2225,2214,74,8276,9307,1613,10399,11661,1877,1563604,1575043.667,309.648726,5%,29%,28%,article
Opera,https://www.vice.com/en_us/article/qvgnqq/tom-delonges-ufo-research-group-signs-contract-with-us-army-to-develop-far-future-tech,2019-11-03T01:06:06+00:00,2953,2967,204,2953,2967,204,13801,13340,843,18654,18236,619,1998971,2130225.667,97526.4246,30%,23%,-5%,article
Opera,https://sport.bt.com/football/frank-lampards-chelsea-kids-travel-to-the-original-academy-looking-to-emulate-the-ajax-of-last-season-S11364403422250,2019-11-03T01:15:14+00:00,2654,2658,146,2654,2658,146,15028,15009,86,16851,17032,356,3342140,3425023,2086.000719,-15%,-28%,13%,article
Opera,https://www.salon.com/2019/09/01/planning-an-outdoor-barbecue-for-labor-day-follow-these-pro-tips-from-the-masters-of-the-craft/,2019-11-03T01:25:01+00:00,852,889,53,852,878,62,26014,26818,1408,29497,30645,1785,2490129,2522251,38994.40754,89%,88%,33%,article
Opera,https://www.vice.com,2019-11-02T22:46:15+00:00,3223,3277,308,3223,3277,308,13954,13094,1279,18281,17302,1763,2455007,2242728.333,187649.36,56%,67%,40%,landing
Opera,https://www.thedailybeast.com/hbos-watchmen-is-a-spectacular-assault-on-white-supremacy,2019-11-03T01:33:17+00:00,1313,1423,164,1313,1423,164,16551,14325,3892,18014,16734,4216,2103149,6169820,2984729.139,49%,46%,21%,article
Opera,https://www.buzzfeed.com/jasminsuknanan/things-to-help-make-your-room-more-adult-even-if-youre?origin=hpp,2019-11-03T01:40:56+00:00,1218,1240,37,1218,1240,37,14761,14743,723,18358,18477,298,2291271,4301737.667,3015534.037,70%,64%,45%,article
Opera,https://www.independent.co.uk/news/world/asia/thai-king-royal-consort-titles-stripped-military-maha-vajiralongkorn-sineenat-a9165091.html,2019-11-03T01:54:56+00:00,1184,1156,44,1094,1113,58,38007,57149,33697,44461,62999,33624,8681655,8485164.667,368173.0011,75%,84%,74%,article
Opera,https://nypost.com/2019/10/21/dallas-tornado-leaves-damage-devastation-after-tearing-through-texas/,2019-11-03T02:11:10+00:00,3303,3199,176,3303,3199,176,38305,38274,453,43105,42811,788,14808038,14008290,1546577.088,59%,56%,57%,article
Opera,https://www.sfgate.com/living/article/Apple-employee-and-Bay-Area-native-cost-of-living-14548437.php,2019-11-03T02:22:36+00:00,3230,3229,35,3230,3229,35,30146,35073,8097,35507,39323,8101,7154675,7030043.333,228493.268,85%,84%,77%,article
Opera,https://www.latimes.com/california/story/2019-10-21/power-outages-california-pge-and-southern-california-edison-shutoffs-fire-weather,2019-11-03T02:30:41+00:00,1976,2069,158,1976,2069,158,10580,11546,1401,15270,15922,982,3091878,2678236.667,188771.4168,63%,50%,68%,article
Opera,https://www.cnet.com/reviews/jabra-elite-active-65t-review/,2019-11-03T02:37:49+00:00,2505,2416,207,2505,2416,207,4052,4106,607,11362,11581,778,2669366,2856723.333,114135.1674,16%,1%,22%,article
Opera,https://news.yahoo.com/trump-clinton-gabbard-russian-agent-feud-185546791.html,2019-11-03T02:46:22+00:00,2386,2525,213,2386,2525,213,11247,15630,7645,16553,18982,7336,1950496,1976670.667,26828.56299,-26%,-59%,1%,article
Opera,https://www.cnn.com/2019/10/21/middleeast/turkey-erdogan-nuclear-weapons-intl/index.html,2019-11-03T02:56:38+00:00,2754,2782,275,2754,2782,275,22685,21221,2126,27886,26311,2337,4366339,4512181.333,517274.4855,68%,62%,46%,article
Opera,https://www.espn.com/nba/story/_/id/27844219/nba-preview-2019-rankings-projections-big-questions-all-30-teams,2019-11-03T03:20:15+00:00,2978,3076,683,2978,3076,683,22242,20632,2350,27918,26518,2154,9299974,4107425,9375.89953,100%,100%,100%,article
Opera,https://sport.bt.com/,2019-11-02T22:53:11+00:00,2333,2833,743,2333,2833,743,8483,8467,637,10872,10479,643,2574335,2515208.667,282.66647,24%,19%,17%,landing
Opera,https://www.amazon.com/gcx/The-Halloween-Store/gfhz/events/ref=HWN19_GW_Desk_Bubbler_v1_EN_Store?categoryId=halloween&pf_rd_p=df38492c-e370-4baa-9c52-151952b6ea64&pf_rd_r=QRVJFCHM20T0MEV0CNN2&scrollState=eyJpdGVtSW5kZXgiOjAsInNjcm9sbE9mZnNldCI6LTk2MS4wNzgxMjV9&sectionManagerState=eyJibGFja2xpc3QiOnt9fQ%3D%3D,2019-11-03T03:26:40+00:00,1735,1752,110,1735,1752,110,3538,3598,108,7851,8215,794,1979793,2351311.333,409843.0821,-9%,-11%,-5%,ecommerce
Opera,https://www.bestbuy.com/site/electronics/top-deals/pcmcat1563299784494.c?id=pcmcat1563299784494,2019-11-03T03:33:56+00:00,2597,2566,60,2597,2566,60,9036,8967,257,14278,14536,516,4097271,4100205,717.145034,16%,-30%,8%,ecommerce
Opera,https://www.walmart.com/ip/Way-to-Celebrate-Halloween-White-Bag-of-Bones-Decoration-Set-of-12/44429200,2019-11-03T03:40:54+00:00,3200,3061,326,3200,3061,326,9469,9764,424,13474,13599,216,3061038,3060249.667,10490.54514,27%,40%,19%,ecommerce
Opera,https://www.target.com/c/halloween/-/N-5xt2o?lnk=Halloweenisalmo,2019-11-03T03:47:42+00:00,1187,1210,101,1187,1210,101,5809,7812,3517,11222,12206,3432,1960802,2028457.333,93671.30154,21%,12%,5%,ecommerce
Opera,https://www.etsy.com/featured/halloween-costumes-and-decor-ideas?ref=primary_hero,2019-11-03T03:54:12+00:00,2734,2845,301,2734,2845,301,8493,8350,393,8776,8630,391,1902314,1998510.333,13408.14888,31%,32%,7%,ecommerce
Opera,https://www.salon.com/,2019-11-02T23:01:49+00:00,894,914,72,894,914,72,19715,19313,673,22968,22817,523,1329720,1189023,37029.57503,93%,93%,85%,landing
Opera,https://www.thedailybeast.com/,2019-11-02T23:09:01+00:00,1348,1532,360,1348,1532,360,9414,11730,3725,10856,12761,3281,2234559,8987378.667,1557997.576,38%,32%,26%,landing
Opera,https://www.buzzfeed.com/,2019-11-02T23:16:51+00:00,1426,1564,238,980,985,12,17314,18316,2145,17487,18487,2148,3267746,3174057,100401.0522,61%,62%,29%,landing
Opera,https://www.independent.co.uk/us,2019-11-02T23:25:20+00:00,924,869,87,924,869,87,24491,22871,6430,29788,27360,7131,2910479,3461624.667,200204.1874,63%,72%,34%,landing
Opera,https://nypost.com/,2019-11-02T23:35:00+00:00,2469,2523,115,2469,2523,115,18797,19589,1215,21713,22636,1748,3031084,2877177.667,73058.87196,67%,67%,44%,landing
Opera,https://www.sfgate.com/,2019-11-02T23:45:54+00:00,4336,4742,753,4159,4683,788,26600,27672,1989,32022,32823,2817,5759988,7572862.667,2038540.395,78%,75%,49%,landing
